Step,AgentID,name,position,sugar,metabolism,vision,strategy,influenciability,belief
0,1,a0,"(24, 41)",11.0,1,2,1,0.14257741899597964,2
0,2,a0,"(2, 44)",15.0,2,5,1,0.9873162328781896,1
0,3,a0,"(6, 5)",10,1,3,1,0.7570169369233481,1
0,4,a1,"(15, 35)",14.0,3,8,1,0.1455885216202195,2
0,5,a0,"(43, 5)",7.0,1,2,1,0.6558178201157395,0
0,6,a0,"(41, 17)",11,2,5,1,0.26536225685537684,0
0,7,a1,"(19, 25)",19.0,3,2,1,0.6863423324257847,0
0,8,a1,"(36, 42)",10,1,1,0,0.5800107997200008,2
0,9,a1,"(38, 32)",9.0,1,9,1,0.135472763860788,2
0,10,a1,"(23, 4)",9.0,4,2,1,0.7734309221300752,2
0,11,a1,"(11, 40)",12.0,2,8,1,0.5448554360728453,1
0,12,a1,"(43, 23)",9.0,1,4,1,0.2877046410077049,0
0,13,a0,"(37, 13)",14.0,4,5,1,0.20526686762813606,1
0,14,a0,"(43, 43)",20.0,4,4,1,0.363361542581243,1
0,15,a1,"(17, 2)",17.0,1,5,1,0.10065084526284795,0
0,16,a1,"(33, 11)",14.0,4,8,1,0.9706448581113045,0
0,17,a0,"(14, 8)",13.0,2,6,0,0.3993123330832431,2
0,18,a1,"(5, 38)",20.0,1,2,1,0.34619242939972417,0
0,19,a0,"(39, 33)",13.0,2,9,1,0.5086037070677599,1
0,20,a1,"(2, 9)",7.0,2,4,1,0.3923458249924594,2
0,21,a1,"(13, 43)",26.0,1,6,1,0.35644158752178445,2
0,22,a1,"(1, 23)",9.0,1,7,1,0.8690241459919605,0
0,23,a1,"(34, 18)",24.0,4,4,1,0.19685944208185413,1
0,24,a1,"(48, 20)",20.0,3,5,1,0.6515163369753495,1
0,25,a1,"(38, 9)",26.0,1,7,1,0.4441685473079636,1
0,26,a0,"(17, 34)",18.0,1,1,1,0.7272389442963071,1
0,27,a1,"(25, 19)",15.0,3,1,1,0.4325822040074594,2
0,28,a0,"(1, 26)",14.0,2,6,0,0.172293760219988,0
0,29,a1,"(8, 40)",15.0,1,1,1,0.49576255247916534,2
0,30,a1,"(31, 47)",12.0,3,8,1,0.2906234728237562,0
0,31,a1,"(48, 18)",19.0,2,1,1,0.5790339484048083,2
0,32,a0,"(27, 37)",22.0,4,4,1,0.024420007872539617,0
0,33,a0,"(38, 8)",10.0,3,6,1,0.8933734773277816,2
0,34,a1,"(35, 23)",18.0,4,3,1,0.9313152105955155,2
0,35,a0,"(17, 10)",7.0,2,1,1,0.4251641658005657,0
0,36,a1,"(35, 35)",6.0,4,1,1,0.5186099426521369,1
0,37,a1,"(10, 36)",7.0,4,4,1,0.36404362199261153,0
0,38,a1,"(48, 40)",13.0,4,7,1,0.8365010530214149,2
0,39,a1,"(40, 10)",21.0,2,7,1,0.3973934390939823,1
0,40,a0,"(18, 4)",18.0,2,1,1,0.019773524018607103,1
0,41,a1,"(20, 31)",7.0,2,3,1,0.4456836647935434,1
0,42,a0,"(45, 32)",11.0,4,4,1,0.1273284047659996,2
0,43,a0,"(25, 3)",20.0,4,4,1,0.7115614164207807,0
0,44,a0,"(14, 39)",14.0,1,8,1,0.5537293903222931,0
0,45,a0,"(36, 35)",10.0,4,3,1,0.9135368183207021,0
0,46,a0,"(25, 13)",17.0,3,6,1,0.24829163755999173,2
0,47,a1,"(23, 8)",25.0,1,2,1,0.6432449950550152,0
0,48,a0,"(3, 27)",8.0,2,3,1,0.30214593014606905,0
0,49,a1,"(33, 25)",9.0,4,8,1,0.7328475784334202,2
0,50,a0,"(25, 14)",7.0,3,2,1,0.5109654070280463,1
0,51,a1,"(32, 23)",6.0,4,7,1,0.08032375331080732,1
0,52,a1,"(12, 33)",12.0,1,8,1,0.31733181172064884,1
0,53,a0,"(35, 42)",19.0,1,5,1,0.3571748484611369,0
0,54,a1,"(16, 3)",6.0,1,9,0,0.933215898362783,0
0,55,a1,"(43, 20)",16.0,3,1,1,0.7137276864503528,0
0,56,a1,"(13, 40)",10.0,2,5,0,0.7440417091752686,1
0,57,a0,"(29, 49)",20.0,2,8,1,0.8852338163014687,2
0,58,a0,"(37, 39)",15.0,1,4,1,0.8717630700143643,2
0,59,a0,"(9, 44)",27.0,1,3,1,0.979387187915151,0
0,60,a1,"(27, 10)",19.0,1,9,1,0.4049717754470483,0
0,61,a0,"(23, 43)",23.0,2,1,1,0.9174704240334158,0
0,62,a1,"(16, 46)",14.0,1,6,1,0.7160902630626352,1
0,63,a0,"(33, 20)",8.0,3,6,0,0.4135757053401359,1
0,64,a0,"(2, 3)",16.0,3,2,1,0.45439792357086173,2
0,65,a1,"(39, 12)",12.0,2,7,0,0.6200441116735915,1
0,66,a0,"(38, 30)",23.0,2,1,1,0.39853049969195464,2
0,67,a1,"(21, 13)",5.0,3,2,1,0.6546499367145342,1
0,68,a1,"(0, 41)",9.0,1,7,1,0.9252572973104104,1
0,69,a0,"(21, 10)",22.0,3,9,1,0.22202251050563726,2
0,70,a1,"(27, 36)",5.0,4,2,1,0.4277284374207394,1
0,71,a1,"(12, 36)",13.0,3,5,1,0.5981542618345281,0
0,72,a0,"(38, 22)",21.0,2,3,1,0.23644346202266953,0
0,73,a1,"(8, 9)",5.0,3,2,1,0.5831686882236917,2
0,74,a1,"(23, 15)",7.0,2,2,1,0.274963197766826,0
0,75,a0,"(43, 19)",15.0,4,4,1,0.3763846723689608,1
0,76,a1,"(39, 27)",7.0,4,8,1,0.6130189106010548,0
0,77,a1,"(39, 29)",23.0,3,9,0,0.7693102296519568,0
0,78,a1,"(13, 9)",20.0,3,9,0,0.7843473072354423,2
0,79,a1,"(30, 12)",12.0,4,9,1,0.4989837976266166,1
0,80,a0,"(1, 43)",20.0,3,7,0,0.8510759573870181,1
0,81,a0,"(40, 8)",17.0,1,7,1,0.4087687397401315,0
0,82,a1,"(37, 46)",13.0,2,5,0,0.8126045104023386,1
0,83,a1,"(13, 34)",23.0,2,4,0,0.5534104932123268,1
0,84,a1,"(21, 37)",25.0,2,1,1,0.6996886945343226,0
0,85,a1,"(18, 45)",8.0,3,6,1,0.6992189698506752,0
0,86,a1,"(41, 16)",25.0,2,1,0,0.5371885785060049,0
0,87,a1,"(5, 39)",10.0,1,9,1,0.5012317491816141,2
0,88,a1,"(47, 10)",10.0,1,7,1,0.3210424584701326,2
0,89,a0,"(3, 2)",3.0,3,2,1,0.0932159662965284,2
0,90,a1,"(23, 11)",20.0,4,5,1,0.0888805153734723,2
0,91,a1,"(29, 20)",25.0,1,6,1,0.8658589307424167,1
0,92,a0,"(24, 13)",14.0,1,4,1,0.7933611108240385,2
0,93,a1,"(0, 44)",15.0,2,2,0,0.8381055597100823,1
0,94,a0,"(40, 16)",14.0,1,4,0,0.5683682605247932,0
0,95,a0,"(38, 46)",13.0,1,2,0,0.308690463221708,1
0,96,a0,"(36, 39)",9.0,2,7,0,0.49879988233883543,2
0,97,a1,"(40, 4)",19.0,3,9,1,0.3295614763580761,0
0,98,a1,"(10, 18)",19.0,4,9,1,0.1941424837485224,0
0,99,a1,"(40, 15)",24.0,3,5,0,0.7981404579663507,0
0,100,a0,"(24, 12)",22.0,4,6,1,0.46519897973867175,1
0,109,a1,"(36, 42)",9,1,1,0,0.5800107997200008,0
0,104,a0,"(9, 5)",9.0,1,3,1,0.7570169369233481,1
0,107,a0,"(39, 17)",13.0,2,5,0,0.26536225685537684,0
1,1,a0,"(26, 41)",12.0,1,2,1,0.14257741899597964,2
